controle;categoria;tipo;calibre;marca;quantidade;origem
93084461-2018;1;pistola;9 mm luger (9x19mm);glock;1;1
93084461-2018;1;revólver;.357 magnum;taurus;1;2
95720741-2018;1;revólver;.38 spl;s&w;1;1
02022461-2018;1;pistola;9 mm luger (9x19mm);taurus;1;1
05919261-2018;1;revólver;.32;iver johnson;1;1
12382441-2018;1;revólver;38 spl;não identificada;1;2
14212271-2018;1;pistola;9 mm;taurus;1;2
17772251-2018;1;pistola;9 mm parabellum (9x19mm);glock;1;1
33943261-2018;1;espingarda;36;boito;1;1
41263971-2018;1;revólver;.38;taurus;1;2
41263971-2018;1;revólver;.38;taurus;1;2
47340511-2018;1;garrucha;indeterminado;indeterminado;1;1
55635061-2018;1;garrucha;.320;indeterminado;1;1
59081231-2018;1;pistola;.40;beretta;1;1
73509851-2018;1;revólver;.38 special (9 x 29,5 mm);taurus;1;2
78167481-2018;1;revólver;.38 spl;taurus;1;2
00132271-2018;1;pistola;9 mm luger (9x19mm);canik;1;1
00466231-2018;1;pistola;9 mm luger (9x19mm);taurus;1;1
00466231-2018;1;pistola;9 mm luger (9x19mm);taurus;1;1
00466231-2018;1;pistola;9 mm luger (9x19mm);glock;1;1
02253901-2018;1;revólver;.38 special (9 x 29,5 mm);taurus;1;2
19072071-2018;1;revólver;.32 s&w long;taurus;1;2
25442311-2018;1;revólver;.32 long;taurus;1;2
32429021-2018;1;pistola;9 mm;glock;1;1
35403861-2018;1;pistola;9 mm parabellum (9x19mm);taurus;1;2
70787911-2018;1;pistola;9 mm;girsan;1;1
83884661-2018;1;espingarda;12;rossi;1;1
93776511-2018;1;pistola;9 mm luger (9x19mm);glock;1;1
93776511-2018;1;pistola;.40 s&w;glock;1;1
93776511-2018;1;pistola;9 mm;glock;1;1
95964561-2018;1;revólver;38 spl;taurus;1;2
00255171-2018;1;pistola;.380;indeterminado;1;1
06014081-2018;1;revólver;.32;ina;1;2
06459271-2018;1;revólver;.38 spl;rossi;1;2
09847221-2018;1;pistola;9 mm luger (9x19mm);sig-sauer;1;1
13312971-2018;1;revólver;indeterminado;não identificada;1;1
25070531-2018;1;revólver;.38 special (9 x 29,5 mm);rossi;1;2
51315701-2018;1;pistola;9 mm;glock;1;1
53553951-2018;1;pistola;6,35 mm;browning;1;1
55526721-2018;1;pistola;9 mm;taurus;1;2
64816001-2018;1;revólver;.38;rossi;1;1
68146871-2018;1;espingarda;12;boito;1;2
79333871-2018;1;pistola;.380 acp (9x17 mm);taurus;1;2
86077941-2018;1;revólver;.32;ina;1;1
96627371-2018;1;pistola;9 mm;taurus;1;2
99746441-2018;1;pistola;9 mm parabellum (9x19mm);girsan;1;1
99746441-2018;1;fuzil;5,56 nato;não identificada;1;1
01632871-2018;1;revólver;.38 spl;taurus;1;2
21657971-2018;1;revólver;.32 s&w long;s&w;1;1
35965401-2018;1;pistola;9 mm parabellum (9x19mm);girsan;1;1
38838441-2018;1;pistola;9 mm luger (9x19mm);glock;1;1
39874711-2018;1;revólver;.38;taurus;1;2
39874711-2018;1;pistola;.380;taurus;1;2
39874711-2018;1;revólver;32;ina;1;2
40347491-2018;1;revólver;.38 spl;taurus;1;1
41690811-2018;1;pistola;9 mm luger (9x19mm);taurus;1;2
42700291-2018;1;revólver;.38 special (9 x 29,5 mm);rossi;1;2
43516241-2018;1;revólver;.38 s&w (9x20 mm);s&w;1;1
44790191-2018;1;revólver;38 spl;taurus;1;2
44790191-2018;1;pistola;380 auto (9x17);taurus;1;2
48907091-2018;1;fuzil;.223 remington (5,56x45 mm);anderson manufacturi;1;1
52405441-2018;1;garrucha;indeterminado;indeterminado;1;1
59964521-2018;1;pistola;9 mm;não identificada;1;1
59964521-2018;1;pistola;.380;taurus;1;2
60183971-2018;1;pistola;.40 s&w;cz;1;1
64914881-2018;1;revólver;.38 spl;rossi;1;2
67470981-2018;1;pistola;.32 acp (7,65x17 mm);taurus;1;2
68468691-2018;1;revólver;38 spl;taurus;1;1
68836821-2018;1;pistola;.22;indeterminado;1;1
80090731-2018;1;pistola;9 mm;taurus;1;1
80670511-2018;1;revólver;.32 long;taurus;1;2
83048591-2018;1;revólver;.32;taurus;1;2
83775461-2018;1;pistola;.380 acp (9x17 mm);taurus;1;2
89561581-2018;1;pistola;9 mm luger (9x19mm);girsan;1;1
92859961-2018;1;pistola;9 mm;sarsilmaz;1;1
93073511-2018;1;pistola;.380;taurus;1;2
98355731-2018;1;revólver;.38;taurus;1;2
05205991-2018;1;pistola;.40 s&w;imbel;1;2
08188781-2018;1;revólver;.38 spl;taurus;1;2
13862261-2018;1;pistola;.40;glock;1;1
19218151-2018;1;pistola;.380 auto (9x17 mm);taurus;1;2
24247931-2018;1;fuzil;7,62;indeterminado;1;1
24247931-2018;1;fuzil;7,62;não identificada;1;1
24247931-2018;1;fuzil;5,56 mm;hk;1;1
24247931-2018;1;fuzil;7,62;não identificada;1;1
24247931-2018;1;fuzil;7,62;century;1;1
24279251-2018;1;pistola;.380 acp (9x17 mm);indeterminado;1;1
25369811-2018;1;pistola;.40;taurus;1;2
